Delitos,ene2015,feb2015,mar2015,abr2015,may2015,jun2015,jul2015,ago2015,sep2015,oct2015,nov2015,dic2015,ene2016,feb2016,mar2016,abr2016,may2016,jun2016,jul2016,ago2016,sep2016,oct2016,nov2016,dic2016,ene2017,feb2017,mar2017,abr2017,may2017,jun2017,jul2017,ago2017,sep2017,oct2017,nov2017,dic2017,ene2018,feb2018,mar2018,abr2018,may2018,jun2018,jul2018,ago2018,sep2018,oct2018,nov2018,dic2018,ene2019,feb2019,mar2019,abr2019,may2019,jun2019,jul2019,ago2019,sep2019,oct2019,nov2019,dic2019,region,ordendelitos,S1_2015,S2_2015,C1_2015,C2_2015,C3_2015,T1_2015,T2_2015,T3_2015,T4_2015,B1_2015,B2_2015,B3_2015,B4_2015,B5_2015,B6_2015,A_2015,S1_2016,S2_2016,C1_2016,C2_2016,C3_2016,T1_2016,T2_2016,T3_2016,T4_2016,B1_2016,B2_2016,B3_2016,B4_2016,B5_2016,B6_2016,A_2016,S1_2017,S2_2017,C1_2017,C2_2017,C3_2017,T1_2017,T2_2017,T3_2017,T4_2017,B1_2017,B2_2017,B3_2017,B4_2017,B5_2017,B6_2017,A_2017,S1_2018,S2_2018,C1_2018,C2_2018,C3_2018,T1_2018,T2_2018,T3_2018,T4_2018,B1_2018,B2_2018,B3_2018,B4_2018,B5_2018,B6_2018,A_2018,S1_2019,S2_2019,C1_2019,C2_2019,C3_2019,T1_2019,T2_2019,T3_2019,T4_2019,B1_2019,B2_2019,B3_2019,B4_2019,B5_2019,B6_2019,A_2019,RANK,var
Homicidio doloso,0.8569898232458489,0.8569898232458489,0.571326548830566,0.8569898232458489,0.8569898232458489,0.9998214604534904,0.8569898232458489,0.571326548830566,0.571326548830566,0.7141581860382075,0.7141581860382075,0.7141581860382075,0.5618332619336897,0.702291577417112,0.702291577417112,0.5618332619336897,0.8427498929005345,0.5618332619336897,1.685499785801069,0.702291577417112,0.9832082083839567,0.42137494645026724,0.5618332619336897,0.42137494645026724,0.8293272221131811,0.41466361105659055,1.1057696294842414,0.8293272221131811,0.5528848147421207,0.6911060184276508,0.8293272221131811,0.0,0.41466361105659055,0.27644240737106035,0.5528848147421207,0.0,0.6805082035263935,0.5444065628211148,0.4083049221158361,0.6805082035263935,0.5444065628211148,1.0888131256422295,0.5444065628211148,0.4083049221158361,1.2249147663475084,0.5444065628211148,1.0888131256422295,0.8166098442316722,1.2067756429767669,0.8045170953178445,0.8045170953178445,1.474948008082715,1.0726894604237929,0.5363447302118964,0.0,0.0,0.0,0.0,0.0,0.0,I,1,4.999107302267452,4.1421174790216035,3.142296018568113,3.2851276557757543,2.7138011069451884,2.285306195322264,2.7138011069451884,1.999642920906981,2.1424745581146225,1.7139796464916979,1.428316372076415,1.8568112836993393,1.428316372076415,1.2854847348687735,1.428316372076415,9.141224781289056,3.9328328335358274,4.775582726436362,2.528249678701603,3.792374518052405,2.387791363218181,1.9664164167679137,1.966416416767914,3.3709995716021375,1.404583154834224,1.2641248393508016,1.2641248393508016,1.4045831548342242,2.387791363218181,1.404583154834224,0.9832082083839568,8.70841555997219,4.423078517936966,2.0733180552829524,3.179087684767194,2.073318055282953,1.2439908331697715,2.3497604626540127,2.073318055282953,1.2439908331697715,0.8293272221131811,1.2439908331697715,1.9350968515974225,1.2439908331697715,0.8293272221131811,0.691106018427651,0.5528848147421207,6.4963965732199185,3.9469475804530822,4.627455783979475,2.3137278919897377,2.585931173400295,3.674744299042525,1.6332196884633443,2.3137278919897377,2.177626251284459,2.4498295326950164,1.2249147663475082,1.0888131256422295,1.6332196884633443,0.9527114849369509,1.7693213291686232,1.9054229698739018,8.574403364432559,5.8997920323308595,0.0,4.290757841695171,1.6090341906356893,0.0,2.8158098336124557,3.0839821987184046,0.0,0.0,2.0112927382946113,2.2794651034005597,1.6090341906356893,0.0,0.0,0.0,5.8997920323308595,5.0,0.49477334372239223
Feminicidio,0.0,0.0,0.1428316372076415,0.0,0.1428316372076415,0.0,0.0,0.1428316372076415,0.0,0.0,0.0,0.0,0.0,0.0,0.1404583154834224,0.0,0.0,0.0,0.1404583154834224,0.0,0.0,0.0,0.0,0.0,0.13822120368553018,0.0,0.13822120368553018,0.13822120368553018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1361016407052787,0.0,0.1361016407052787,0.0,0.0,0.0,0.0,0.0,0.0,0.1361016407052787,0.1361016407052787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,2,0.285663274415283,0.1428316372076415,0.1428316372076415,0.285663274415283,0.0,0.1428316372076415,0.1428316372076415,0.1428316372076415,0.0,0.0,0.1428316372076415,0.1428316372076415,0.1428316372076415,0.0,0.0,0.4284949116229245,0.1404583154834224,0.1404583154834224,0.1404583154834224,0.1404583154834224,0.0,0.1404583154834224,0.0,0.1404583154834224,0.0,0.0,0.1404583154834224,0.0,0.1404583154834224,0.0,0.0,0.2809166309668448,0.41466361105659055,0.0,0.41466361105659055,0.0,0.0,0.27644240737106035,0.13822120368553018,0.0,0.0,0.13822120368553018,0.27644240737106035,0.0,0.0,0.0,0.0,0.41466361105659055,0.2722032814105574,0.2722032814105574,0.2722032814105574,0.0,0.2722032814105574,0.1361016407052787,0.1361016407052787,0.0,0.2722032814105574,0.1361016407052787,0.1361016407052787,0.0,0.0,0.0,0.2722032814105574,0.5444065628211148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0
Homicidio culposo,0.7141581860382075,0.42849491162292447,0.571326548830566,0.571326548830566,0.1428316372076415,0.0,0.285663274415283,0.1428316372076415,0.1428316372076415,0.1428316372076415,0.285663274415283,0.42849491162292447,0.42137494645026724,0.2809166309668448,0.702291577417112,0.0,0.5618332619336897,0.42137494645026724,0.0,0.0,0.1404583154834224,0.2809166309668448,0.702291577417112,0.42137494645026724,0.41466361105659055,0.27644240737106035,0.5528848147421207,0.9675484257987111,0.27644240737106035,0.6911060184276508,0.13822120368553018,0.8293272221131811,0.6911060184276508,0.5528848147421207,0.41466361105659055,0.9675484257987111,0.5444065628211148,0.6805082035263935,0.5444065628211148,0.5444065628211148,0.6805082035263935,0.1361016407052787,0.6805082035263935,0.4083049221158361,0.5444065628211148,0.1361016407052787,0.2722032814105574,1.2249147663475084,0.2681723651059482,0.0,0.2681723651059482,0.5363447302118964,1.0726894604237929,0.2681723651059482,0.0,0.0,0.0,0.0,0.0,0.0,I,3,2.4281378325299054,1.428316372076415,2.285306195322264,0.571326548830566,0.9998214604534905,1.713979646491698,0.7141581860382075,0.571326548830566,0.856989823245849,1.142653097661132,1.142653097661132,0.1428316372076415,0.4284949116229245,0.285663274415283,0.7141581860382075,3.85645420460632,2.3877913632181813,1.5450414703176465,1.4045831548342242,0.9832082083839568,1.5450414703176465,1.4045831548342242,0.9832082083839568,0.1404583154834224,1.404583154834224,0.7022915774171121,0.702291577417112,0.9832082083839568,0.0,0.42137494645026724,1.1236665238673793,3.932832833535828,3.179087684767194,3.5937512958237847,2.211539258968483,1.9350968515974225,2.6262028700250735,1.2439908331697715,1.9350968515974225,1.6586544442263622,1.9350968515974225,0.691106018427651,1.5204332405408318,0.9675484257987113,0.9675484257987113,1.2439908331697715,1.3822120368553017,6.772838980590978,3.13033773622141,3.266439376926689,2.3137278919897377,1.905422969873902,2.177626251284459,1.769321329168623,1.3610164070527868,1.6332196884633443,1.6332196884633445,1.2249147663475082,1.0888131256422295,0.8166098442316723,1.0888131256422295,0.6805082035263934,1.497118047758066,6.396777113148099,2.4135512859535337,0.0,1.0726894604237929,1.340861825529741,0.0,0.5363447302118964,1.8772065557416375,0.0,0.0,0.2681723651059482,0.8045170953178447,1.340861825529741,0.0,0.0,0.0,2.4135512859535337,6.0,-0.22898054800090029
Secuestro,0.0,0.1428316372076415,0.0,0.0,0.0,0.0,0.1428316372076415,0.0,0.0,0.0,0.285663274415283,0.0,0.1404583154834224,0.1404583154834224,0.0,0.0,0.1404583154834224,0.42137494645026724,0.0,0.1404583154834224,0.1404583154834224,0.5618332619336897,0.2809166309668448,0.0,0.0,0.13822120368553018,0.0,0.0,0.27644240737106035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1361016407052787,0.1361016407052787,0.1361016407052787,0.0,0.1361016407052787,0.0,0.2722032814105574,0.2722032814105574,0.0,0.1361016407052787,0.0,0.1361016407052787,0.1340861825529741,0.2681723651059482,0.40225854765892227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,I,4,0.1428316372076415,0.4284949116229245,0.1428316372076415,0.1428316372076415,0.285663274415283,0.1428316372076415,0.0,0.1428316372076415,0.285663274415283,0.1428316372076415,0.0,0.0,0.1428316372076415,0.0,0.285663274415283,0.571326548830566,0.8427498929005345,1.1236665238673793,0.2809166309668448,0.7022915774171121,0.983208208383957,0.2809166309668448,0.5618332619336897,0.2809166309668448,0.8427498929005345,0.2809166309668448,0.0,0.5618332619336897,0.1404583154834224,0.7022915774171121,0.2809166309668448,1.9664164167679137,0.41466361105659055,0.0,0.13822120368553018,0.27644240737106035,0.0,0.13822120368553018,0.27644240737106035,0.0,0.0,0.13822120368553018,0.0,0.27644240737106035,0.0,0.0,0.0,0.41466361105659055,0.5444065628211148,0.816609844231672,0.4083049221158361,0.6805082035263934,0.2722032814105574,0.4083049221158361,0.1361016407052787,0.5444065628211148,0.2722032814105574,0.2722032814105574,0.1361016407052787,0.1361016407052787,0.5444065628211148,0.1361016407052787,0.1361016407052787,1.3610164070527868,0.8045170953178447,0.0,0.8045170953178447,0.0,0.0,0.8045170953178447,0.0,0.0,0.0,0.4022585476589223,0.40225854765892227,0.0,0.0,0.0,0.0,0.8045170953178447,2.0,0.47778728299827455
Extorsión,0.1428316372076415,0.285663274415283,0.0,0.1428316372076415,0.285663274415283,0.42849491162292447,0.1428316372076415,0.285663274415283,0.285663274415283,0.285663274415283,0.0,0.571326548830566,0.0,0.1404583154834224,0.42137494645026724,0.42137494645026724,0.1404583154834224,0.2809166309668448,0.42137494645026724,0.2809166309668448,0.5618332619336897,0.8427498929005345,0.8427498929005345,1.2641248393508018,0.8293272221131811,0.6911060184276508,0.27644240737106035,0.27644240737106035,0.41466361105659055,0.13822120368553018,0.41466361105659055,0.27644240737106035,0.6911060184276508,0.13822120368553018,0.8293272221131811,0.6911060184276508,1.361016407052787,0.5444065628211148,0.9527114849369509,0.9527114849369509,0.6805082035263935,0.5444065628211148,0.4083049221158361,0.6805082035263935,0.9527114849369509,0.8166098442316722,0.4083049221158361,0.2722032814105574,0.5363447302118964,1.2067756429767669,1.3408618255297409,1.2067756429767669,0.8045170953178445,0.5363447302118964,0.0,0.0,0.0,0.0,0.0,0.0,I,5,1.2854847348687735,1.5711480092840566,0.571326548830566,1.142653097661132,1.142653097661132,0.4284949116229245,0.856989823245849,0.7141581860382076,0.856989823245849,0.4284949116229245,0.1428316372076415,0.7141581860382075,0.4284949116229245,0.571326548830566,0.571326548830566,2.85663274415283,1.4045831548342242,4.213749464502673,0.9832082083839568,1.1236665238673793,3.5114578870855606,0.5618332619336897,0.8427498929005345,1.2641248393508018,2.9496246251518707,0.1404583154834224,0.8427498929005345,0.42137494645026724,0.7022915774171121,1.4045831548342242,2.1068747322513364,5.618332619336897,2.6262028700250735,3.040866481081664,2.0733180552829524,1.2439908331697715,2.349760462654013,1.7968756479118921,0.8293272221131811,1.382212036855302,1.6586544442263622,1.5204332405408318,0.5528848147421207,0.5528848147421207,0.691106018427651,0.829327222113181,1.5204332405408318,5.667069351106738,5.035760706095312,3.538642658337246,3.8108459397478036,2.3137278919897377,2.4498295326950164,2.8581344548108527,2.177626251284459,2.0415246105791804,1.4971180477580655,1.9054229698739018,1.9054229698739018,1.2249147663475082,1.0888131256422295,1.7693213291686232,0.6805082035263934,8.574403364432559,5.631619667224912,0.0,4.2907578416951715,1.3408618255297409,0.0,3.083982198718404,2.5476374685065077,0.0,0.0,1.7431203731886633,2.5476374685065077,1.3408618255297409,0.0,0.0,0.0,5.631619667224912,5.0,0.11832551145815362
Robo con violencia,9.712551330119622,8.141403320835565,8.141403320835565,8.71272986966613,9.56971969291198,10.712372790573111,7.998571683627923,8.998393144081414,8.71272986966613,9.141224781289056,8.56989823245849,9.141224781289056,6.4610825122374305,5.758790934820318,6.882457458687698,5.196957672886629,6.039707565787164,2.6687079941850254,4.6351244109529395,5.758790934820318,8.287040613521922,6.601540827720854,7.865665667071654,10.674831976740101,9.813705461672642,7.60216620270416,8.43149342481734,8.56971462850287,7.740387406389689,12.992793146439837,14.6514475906662,12.301687128012185,12.163465924326655,15.066111201722789,10.781253887471353,10.504811480100294,11.024232897127575,9.935419771485344,8.846606645843115,7.213386957379772,11.024232897127575,8.574403364432557,7.8938951609061645,8.846606645843115,12.249147663475084,11.160334537832854,8.302200083022,9.254911567958953,12.067756429767668,10.592808421684953,8.179257135731419,7.508826222966549,7.642912405519523,8.581515683390343,0.0,0.0,0.0,0.0,0.0,0.0,I,6,54.99018032494198,52.56204249241207,34.70808784145689,37.27905731119443,35.565077664702734,25.995357971790753,28.99482235315122,25.70969469737547,26.8523477950366,17.85395465095519,16.854133190501695,20.28209248348509,16.996964827709338,17.85395465095519,17.711123013747546,107.55222281735405,33.00770413860427,43.82299443082779,24.299288578632076,19.102330905745447,33.42907908505453,19.102330905745447,13.90537323285882,18.680955959295183,25.142038471532608,12.219873447057749,12.079415131574327,8.708415559972188,10.393915345773259,14.888581441242776,18.540497643811754,76.83069856943206,55.15026027052654,75.46877721229947,34.417079717697014,47.68631527150791,48.51564249362109,25.84736508919414,29.302895181332396,39.11660064300504,36.352176569294436,17.4158716643768,17.001208053320212,20.733180552829527,26.953134718678385,27.229577126049442,21.286065367571645,130.61903748282603,56.61828253339594,57.707095659038174,37.01964627183581,36.33913806830941,40.966593852288895,29.806259314456035,26.812023218939906,28.989649470224364,28.717446188813806,20.959652668612918,16.059993603222885,19.59863626156013,16.74050180674928,23.409482201307938,17.557111650980953,114.32537819243412,54.57307629906045,0.0,38.348648210150586,16.224428088909868,0.0,30.839821987184038,23.733254311876415,0.0,0.0,22.66056485145262,15.688083358697968,16.224428088909868,0.0,0.0,0.0,54.57307629906045,6.0,-0.03612271765977948
Robo de vehículo,8.427066595250848,6.713086948759151,4.856275665059811,7.855740046420282,8.427066595250848,9.998214604534903,7.141581860382075,8.427066595250848,8.56989823245849,7.141581860382075,8.855561506873773,6.8559185859667915,4.6351244109529395,7.725207351588232,7.865665667071654,6.882457458687698,9.129790506422456,1.5450414703176465,5.477874303853474,6.180165881270586,8.287040613521922,5.618332619336896,5.196957672886629,10.534373661256682,7.187502591647569,7.60216620270416,9.675484257987112,7.187502591647569,6.358175369534387,8.43149342481734,11.887023516955596,12.578129535383246,9.951926665358172,13.683899164867487,9.399041850616051,11.610581109584533,11.840842741359246,12.249147663475084,11.976944382064525,9.254911567958953,12.249147663475084,8.846606645843115,9.935419771485344,7.349488598085051,10.071521412190624,9.527114849369509,8.166098442316722,9.391013208664232,12.604101159979566,9.386032778708188,10.056463691473057,8.84968804849629,10.056463691473057,10.592808421684953,0.0,0.0,0.0,0.0,0.0,0.0,I,7,46.27745045527584,46.99160864131405,27.85216925549009,33.993929655418675,31.422960185681127,19.99642920906981,26.28102124620603,24.138546688091413,22.85306195322264,15.140153544009998,12.712015711480092,18.42528119978575,15.568648455632923,15.711480092840565,15.711480092840564,93.26905909658988,37.78328686504063,41.29474475212619,27.10845488830052,22.332872161864163,29.636704567002127,20.225997429612825,17.5572894354278,19.945080798645982,21.34966395348021,12.360331762541172,14.748123125759353,10.674831976740101,11.65804018512406,13.905373232858818,15.731331334143311,79.07803161716681,46.44232443833814,69.11060184276509,31.65265564398641,39.25482184669057,44.645448790426244,24.46515305233884,21.9771713859993,34.417079717697014,34.69352212506807,14.78966879435173,16.86298684963468,14.789668794351726,24.46515305233884,23.63582583022566,21.009622960200584,115.55292628110323,66.417600664176,54.44065628211148,45.32184635485781,38.3806626788886,37.15574791254109,36.066934786898855,30.35066587727715,27.35642978176102,27.08422650035046,24.08999040483433,21.23185595002348,21.0957543093182,17.284908369570395,19.59863626156013,17.557111650980953,120.85825694628748,61.54555779181511,0.0,40.8962856786571,20.649272113158013,0.0,32.04659763016081,29.4989601616543,0.0,0.0,21.990133938687755,18.906151739969346,20.649272113158013,0.0,0.0,0.0,61.54555779181511,6.0,-0.0733546954969837
Robo a casa habitación,7.855740046420282,6.141760399928585,7.141581860382075,7.998571683627923,3.8564542046063206,7.712908409212641,5.71326548830566,8.56989823245849,7.570076772004999,7.570076772004999,7.427245134797357,6.998750223174433,4.213749464502672,3.932832833535827,4.494666095469517,3.370999571602138,2.5282496787016036,2.106874732251336,3.090082940635293,5.337415988370051,5.337415988370051,4.6351244109529395,3.651916202568983,3.370999571602138,4.561299721622496,4.423078517936966,3.5937512958237847,4.008414906880375,6.634617776905449,4.975963332679086,6.081732962163327,4.6995209253080255,4.975963332679086,6.911060184276509,5.667069351106737,4.008414906880375,6.532878753853377,3.5386426583372463,2.8581344548108527,4.083049221158361,4.627455783979476,4.7635574246847545,5.852370550326984,5.580167268916427,5.171862346800591,3.1303377362214104,4.355252502568918,6.532878753853377,3.7544131114832746,4.156671659142197,5.765705849777886,4.156671659142197,6.033878214883834,4.693016389354094,0.0,0.0,0.0,0.0,0.0,0.0,I,8,40.707016604177824,43.84931262274594,29.137653990358864,25.85252633458311,29.566148901981787,21.13908230673094,19.567934297446886,21.85324049276915,21.99607212997679,13.997500446348866,15.140153544009998,11.569362613818962,14.28316372076415,15.140153544009998,14.42599535797179,84.55632922692376,20.647372376063093,25.422955102499454,16.012247965110156,13.062623339958282,16.995456173494112,12.641248393508016,8.006123982555078,13.764914917375394,11.65804018512406,8.1465822980385,7.865665667071655,4.6351244109529395,8.427498929005344,9.972540399322991,7.022915774171121,46.070327478562554,28.19712555184816,32.34376166241406,16.586544442263623,22.391834997055888,21.562507774942706,12.578129535383246,15.61899601646491,15.757217220150439,16.586544442263623,8.984378239559462,7.60216620270416,11.610581109584535,10.781253887471353,11.887023516955594,9.675484257987112,60.54088721426222,26.403718296824067,30.62286915868771,17.012705088159837,20.82355102790764,19.190331339444295,12.929655867001475,13.474062429822592,16.604400166044,14.018468992643704,10.071521412190624,6.941183675969214,9.39101320866423,11.43253781924341,8.302200083022,10.888131256422295,57.02658745551177,28.560356883783484,0.0,17.833462279545554,10.726894604237927,0.0,13.676790620403358,14.883566263380125,0.0,0.0,7.911084770625472,9.922377508920082,10.726894604237927,0.0,0.0,0.0,28.560356883783484,2.0,0.08167935147296368
Robo de negocio,1.5711480092840564,1.428316372076415,1.8568112836993393,1.2854847348687735,1.2854847348687735,0.8569898232458489,0.571326548830566,1.2854847348687735,1.2854847348687735,0.9998214604534904,0.7141581860382075,1.8568112836993393,0.8427498929005345,0.8427498929005345,0.9832082083839567,0.8427498929005345,0.8427498929005345,0.1404583154834224,0.5618332619336897,0.0,1.1236665238673793,0.702291577417112,1.404583154834224,1.404583154834224,1.6586544442263622,1.3822120368553017,1.9350968515974223,1.5204332405408318,1.9350968515974223,1.7968756479118924,2.9026452773961333,1.7968756479118924,0.8293272221131811,1.3822120368553017,0.9675484257987111,0.8293272221131811,0.9527114849369509,1.0888131256422295,1.2249147663475084,2.449829532695017,1.4971180477580657,0.9527114849369509,0.8166098442316722,1.7693213291686232,0.8166098442316722,2.5859311734002954,1.361016407052787,1.2249147663475084,1.2067756429767669,1.7431203731886633,1.7431203731886633,1.474948008082715,0.9386032778708187,1.3408618255297409,0.0,0.0,0.0,0.0,0.0,0.0,I,9,8.284234958043207,6.71308694875915,6.141760399928584,3.999285841813962,4.856275665059811,4.856275665059811,3.4279592929833957,3.1422960185681132,3.570790930191037,2.9994643813604713,3.142296018568113,2.1424745581146225,1.8568112836993396,2.285306195322264,2.570969469737547,14.99732190680236,4.494666095469517,5.196957672886629,3.51145788708556,1.5450414703176465,4.6351244109529395,2.668707994185026,1.8259581012844914,1.685499785801069,3.5114578870855597,1.685499785801069,1.8259581012844912,0.9832082083839568,0.5618332619336897,1.8259581012844914,2.809166309668448,9.691623768356147,10.228369072729233,8.7079358321884,6.4963965732199185,8.43149342481734,4.008414906880375,4.975963332679086,5.252405740050146,5.528848147421207,3.179087684767194,3.0408664810816637,3.455530092138254,3.7319724995093146,4.6995209253080255,2.211539258968483,1.7968756479118921,18.936304904917634,8.166098442316722,8.574403364432559,5.716268909621705,5.035760706095312,5.988472191032263,3.266439376926689,4.899659065390034,3.4025410176319677,5.171862346800591,2.0415246105791804,3.6747442990425254,2.4498295326950164,2.5859311734002954,3.4025410176319677,2.5859311734002954,16.740501806749283,8.44742950083737,0.0,6.167964397436809,2.2794651034005593,0.0,4.693016389354094,3.7544131114832746,0.0,0.0,2.94989601616543,3.2180683812713786,2.2794651034005593,0.0,0.0,0.0,8.44742950083737,6.0,0.03445109809879221
Robo a transeúnte total,9.284056418496696,4.9991073022674515,5.998928762720943,6.284592037136226,7.998571683627923,8.141403320835565,6.5702553115515085,8.141403320835565,5.856097125513301,5.998928762720943,4.856275665059811,5.570433851098018,4.916041041919784,3.651916202568983,4.213749464502672,3.51145788708556,4.07329114901925,1.685499785801069,2.106874732251336,3.7923745180524056,4.6351244109529395,3.7923745180524056,4.775582726436362,6.601540827720854,4.423078517936966,4.008414906880375,5.114184536364617,5.252405740050147,4.6995209253080255,8.155051017446281,7.049281387962038,5.528848147421207,6.911060184276509,8.29327222113181,7.740387406389689,4.423078517936966,4.627455783979476,4.355252502568918,3.8108459397478036,2.8581344548108527,4.7635574246847545,4.627455783979476,4.21915086186364,5.171862346800591,5.035760706095312,5.852370550326984,4.21915086186364,5.171862346800591,4.5589302068011195,2.6817236510594817,2.94989601616543,2.547637468506508,3.7544131114832746,2.6817236510594817,0.0,0.0,0.0,0.0,0.0,0.0,I,10,42.7066595250848,36.99339403677915,26.566684520621315,30.85163363685056,22.281735404392073,20.28209248348509,22.424567041599715,20.567755757900375,16.425638278878772,14.283163720764147,12.283520799857168,16.139975004463487,14.711658632387074,11.855025888234245,10.426709516157828,79.70005356186394,22.051955530897317,25.7038717334663,16.293164596077,11.65804018512406,19.80462248316256,12.78170670899144,9.270248821905879,10.53437366125668,15.16949807220962,8.567957244488767,7.725207351588232,5.758790934820318,5.8992492503037415,8.427498929005345,11.377123554157215,47.75582726436362,31.652655643986407,39.945927865118215,18.798083701232102,25.432701478137552,27.367798329734974,13.545677961181957,18.106977682804455,19.489189719659752,20.456738145458463,8.43149342481734,10.366590276414763,12.854571942754307,12.578129535383244,15.20433240540832,12.163465924326655,71.59858350910463,25.04270188977128,29.670157673750754,15.65168868110705,18.78202641732846,20.279144465086524,12.793554226296198,12.249147663475084,14.426773914759542,15.243383758991214,8.982708286548394,6.668980394558656,9.39101320866423,9.39101320866423,10.888131256422295,9.39101320866423,54.71285956352203,19.174324105075296,0.0,12.73818734253254,6.436136762542756,0.0,10.190549874026031,8.983774231049264,0.0,0.0,7.240653857860601,5.497533484671939,6.436136762542756,0.0,0.0,0.0,19.174324105075296,6.0,-0.23433484975089403
