num,region,ordendelitos,Delitos,ene2015,feb2015,mar2015,abr2015,may2015,jun2015,jul2015,ago2015,sep2015,oct2015,nov2015,dic2015,ene2016,feb2016,mar2016,abr2016,may2016,jun2016,jul2016,ago2016,sep2016,oct2016,nov2016,dic2016,ene2017,feb2017,mar2017,abr2017,may2017,jun2017,jul2017,ago2017,sep2017,oct2017,nov2017,dic2017,ene2018,feb2018,mar2018,abr2018,may2018,jun2018,jul2018,ago2018,sep2018,oct2018,nov2018,dic2018,ene2019,feb2019,mar2019,abr2019,may2019,jun2019,jul2019,ago2019,sep2019,oct2019,nov2019,dic2019
3,III,9,Robo de negocio,62.0,53.0,62.0,58.0,48.0,56.0,43.0,42.0,49.0,75.0,73.0,60.0,52.0,32.0,55.0,31.0,54.0,17.0,9.0,8.0,42.0,30.0,52.0,59.0,73.0,56.0,51.0,51.0,64.0,72.0,72.0,92.0,101.0,112.0,113.0,108.0,112.0,103.0,66.0,102.0,92.0,58.0,83.0,129.0,167.0,172.0,205.0,169.0,154.0,109.0,101.0,105.0,139.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0
3,III,10,Robo a transeúnte total,347.0,364.0,473.0,511.0,472.0,476.0,470.0,392.0,445.0,423.0,414.0,420.0,328.0,324.0,350.0,431.0,379.0,258.0,238.0,251.0,440.0,407.0,355.0,473.0,421.0,416.0,385.0,354.0,489.0,470.0,531.0,606.0,660.0,778.0,712.0,633.0,725.0,414.0,360.0,294.0,281.0,301.0,214.0,447.0,424.0,476.0,518.0,483.0,351.0,292.0,222.0,270.0,323.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0
3,III,11,Violación,20.0,12.0,11.0,10.0,7.0,14.0,7.0,7.0,8.0,12.0,7.0,13.0,4.0,18.0,18.0,13.0,16.0,21.0,27.0,36.0,31.0,23.0,22.0,14.0,9.0,21.0,10.0,10.0,7.0,11.0,2.0,4.0,1.0,1.0,1.0,4.0,4.0,6.0,6.0,5.0,13.0,16.0,12.0,14.0,30.0,33.0,36.0,28.0,31.0,29.0,34.0,31.0,40.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
3,III,12,Trata de personas,0.0,0.0,0.0,4.0,3.0,5.0,0.0,0.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,III,13,Narcomenudeo,74.0,78.0,96.0,90.0,82.0,76.0,86.0,105.0,91.0,88.0,83.0,50.0,104.0,81.0,81.0,76.0,68.0,44.0,28.0,22.0,29.0,52.0,42.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,5.0,5.0,13.0,9.0,3.0,9.0,20.0,7.0,7.0,4.0,9.0,10.0,22.0,13.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,1,Homicidio doloso,3.0,5.0,3.0,2.0,4.0,2.0,3.0,1.0,2.0,1.0,1.0,6.0,7.0,7.0,3.0,4.0,8.0,4.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,3.0,2.0,2.0,4.0,2.0,2.0,8.0,2.0,3.0,4.0,7.0,3.0,4.0,1.0,4.0,6.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,2,Feminicidio,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,3,Homicidio culposo,9.0,12.0,9.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,5.0,1.0,2.0,5.0,4.0,2.0,8.0,7.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,4,Secuestro,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,5,Extorsión,2.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
