CVE_ENT,CVE_MUN,CVEGEO,NOMGEO,nom_reg,num_reg,COUNT
"15","113","15113",Villa Guerrero,Tejupilco,XII,"2"
"15","114","15114",Villa Victoria,Valle de Bravo,XIX,"3"
"15","115","15115",Xonacatl�n,Naucalpan,IX,"3"
"15","116","15116",Zacazonapan,Tejupilco,XII,"2"
"15","117","15117",Zacualpan,Tejupilco,XII,"1"
"15","118","15118",Zinacantepec,Tejupilco,XII,"5"
"15","119","15119",Zumpahuac�n,Tejupilco,XII,"2"
"15","120","15120",Zumpango,Tepotzotlán,XIV,"4"
"15","121","15121",Cuautitl�n Izcalli,Tepotzotlán,XIV,"4"
"15","122","15122",Valle de Chalco Solidaridad,Amecameca,I,"2"
"15","123","15123",Luvianos,Tejupilco,XII,"2"
"15","124","15124",San Jos� del Rinc�n,Valle de Bravo,XIX,"3"
"15","125","15125",Tonanitla,Tepotzotlán,XIV,"2"
"15","051","15051",Lerma,Naucalpan,IX,"4"
"15","054","15054",Metepec,Metepec,VIII,"4"
"15","076","15076",San Mateo Atenco,Metepec,VIII,"3"
"15","027","15027",Chapultepec,Metepec,VIII,"3"
"15","073","15073",San Antonio la Isla,Lerma,VII,"2"
"15","012","15012",Atizap�n,Lerma,VII,"2"
"15","018","15018",Calimaya,Metepec,VIII,"4"
"15","101","15101",Tianguistenco,Metepec,VIII,"3"
"15","112","15112",Villa del Carb�n,Tepotzotlán,XIV,"4"
