CVE_ENT,CVE_MUN,mun_code,NOMGEO,num,region,pop2015,pop2016,pop2017,pop2018,pop2019
15,113,15113,Villa Guerrero,XIII,Tenancingo,5916,5952,5988,6023,6059
15,117,15117,Zacualpan,X,Sultepec,16637,16855,17075,17297,17521
15,6,15006,Almoloya del Río,XII,Tenango del valle,12689,12925,13149,13364,13570
15,18,15018,Calimaya,XII,Tenango del valle,54594,55602,56565,57489,58383
15,49,15049,Joquicingo,XII,Tenango del valle,14609,14850,15083,15309,15530
15,52,15052,Malinalco,XIII,Tenancingo,28477,28886,29293,29699,30102
15,63,15063,Ocuilan,XIII,Tenancingo,36633,37301,37952,38589,39215
15,72,15072,Rayón,XII,Tenango del valle,9759,9875,9992,10112,10232
15,73,15073,San Antonio la Isla,XII,Tenango del valle,29503,30369,31140,31835,32472
15,88,15088,Tenancingo,XIII,Tenancingo,102339,103989,105614,107217,108797
15,90,15090,Tenango del Valle,XII,Tenango del valle,87803,89220,90617,91996,93357
15,119,15119,Zumpahuacán,XIII,Tenancingo,17451,17666,17900,18148,18407
15,23,15023,Coyotepec,II,Cuautitlán,41364,41844,42360,42901,43460
15,44,15044,Jaltenco,XVIII,Zumpango,28136,28447,28770,29099,29432
15,53,15053,Melchor Ocampo,II,Cuautitlán,61112,62465,63716,64885,65988
15,59,15059,Nextlalpan,XVIII,Zumpango,44298,45514,46619,47636,48582
15,91,15091,Teoloyucan,II,Cuautitlán,62605,62968,63450,64019,64647
15,95,15095,Tepotzotlán,II,Cuautitlán,106721,108974,111059,113009,114849
15,125,15125,Tonanitla,XVIII,Zumpango,12067,12304,12528,12742,12947
15,11,15011,Atenco,XIV,Texcoco,67688,69123,70459,71716,72911
15,30,15030,Chiconcuac,XIV,Texcoco,26009,26447,26870,27280,27679
15,99,15099,Texcoco,XIV,Texcoco,265492,269661,273698,277618,281425
15,100,15100,Tezoyuca,XIV,Texcoco,43511,44534,45474,46349,47172
15,104,15104,Tlalnepantla de Baz,XV,Tlalnepantla,700958,706889,713046,719304,725563
15,106,15106,Toluca,XVI,Toluca,914841,928674,942281,955654,968777
15,118,15118,Zinacantepec,XVI,Toluca,197021,200942,204678,208262,211719
15,20,15020,Coacalco de Berriozábal,III,Ecatepec de morelos,295275,298288,301429,304640,307871
15,24,15024,Cuautitlán,II,Cuautitlán,166979,170384,173558,176544,179373
15,108,15108,Tultepec,II,Cuautitlán,90404,90921,91626,92467,93404
15,109,15109,Tultitlán,II,Cuautitlán,589477,598659,607583,616255,624672
15,7,15007,Amanalco,XVII,Valle de bravo,25632,26050,26469,26888,27307
15,32,15032,Donato Guerra,XVII,Valle de bravo,37238,37851,38477,39114,39761
15,41,15041,Ixtapan del Oro,XVII,Valle de bravo,7081,7161,7245,7335,7428
15,66,15066,Otzoloapan,XVII,Valle de bravo,5187,5242,5301,5363,5428
15,77,15077,San Simón de Guerrero,XI,Temascaltepec,7057,7167,7275,7381,7487
15,78,15078,Santo Tomás,XVII,Valle de bravo,9780,9900,10027,10159,10294
15,86,15086,Temascaltepec,XI,Temascaltepec,35904,36383,36877,37383,37899
15,97,15097,Texcaltitlán,X,Sultepec,19184,19467,19756,20050,20347
15,110,15110,Valle de Bravo,XVII,Valle de bravo,70514,71755,72959,74130,75271
15,111,15111,Villa de Allende,XVII,Valle de bravo,53560,54472,55390,56314,57242
15,114,15114,Villa Victoria,XVI,Toluca,108249,110308,112352,114391,116427
15,116,15116,Zacazonapan,XVII,Valle de bravo,4381,4436,4493,4552,4612
15,10,15010,Apaxco,XVIII,Zumpango,30296,30713,31131,31547,31960
15,35,15035,Huehuetoca,II,Cuautitlán,132745,136708,140281,143548,146578
15,36,15036,Hueypoxtla,XVIII,Zumpango,44001,44627,45253,45878,46499
15,96,15096,Tequixquiac,XVIII,Zumpango,37580,38122,38660,39195,39725
15,120,15120,Zumpango,XVIII,Zumpango,187782,191458,194932,198245,201428
