CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,_pop2018,_pop2019,POP2019,region,CLUSTER_ID,reg_pob,,,,,,,,
15015,15,15,Atlautla,32978,33469,33469,57,5,1968187,,,,,,,,
15124,15,124,San José del Rincón,107082,108893,108893,82,2,533840,,,,,,,,
15116,15,116,Zacazonapan,4552,4612,4612,17,4,272729,,,,,,,,
15012,15,12,Atizapán,12266,12454,12454,5,3,1149573,,,,,,,,
15109,15,109,Tultitlán,616255,624672,624672,124,6,5401537,,,,,,,,
15028,15,28,Chiautla,31308,31764,31764,55,1,5410318,,,,,,,,
15074,15,74,San Felipe del Progreso,148019,150698,150698,109,2,533840,,,,,,,,
15087,15,87,Temoaya,107309,109088,109088,83,8,1933147,,,,,,,,
15079,15,79,Soyaniquilpan de Juárez,13630,13808,13808,32,9,316419,,,,,,,,
15072,15,72,Rayón,10112,10232,10232,10,3,1149573,,,,,,,,
15040,15,40,Ixtapan de la Sal,39103,39667,39667,70,7,343971,,,,,,,,
15082,15,82,Tejupilco,83110,84351,84351,97,0,178681,,,,,,,,
15061,15,61,Nopaltepec,10132,10257,10257,11,1,5410318,,,,,,,,
15035,15,35,Huehuetoca,143548,146578,146578,110,6,5401537,,,,,,,,
15058,15,58,Nezahualcóyotl,1208212,1219863,1219863,3,1,5410318,,,,,,,,
15078,15,78,Santo Tomás,10159,10294,10294,12,4,272729,,,,,,,,
15010,15,10,Apaxco,31547,31960,31960,56,6,5401537,,,,,,,,
15005,15,5,Almoloya de Juárez,177051,179840,179840,112,8,1933147,,,,,,,,
15083,15,83,Temamatla,13100,13297,13297,33,5,1968187,,,,,,,,
15108,15,108,Tultepec,92467,93404,93404,98,6,5401537,,,,,,,,
15049,15,49,Joquicingo,15309,15530,15530,29,3,1149573,,,,,,,,
15111,15,111,Villa de Allende,56314,57242,57242,58,4,272729,,,,,,,,
15103,15,103,Tlalmanalco,52242,52867,52867,62,5,1968187,,,,,,,,
15002,15,2,Acolman,196696,200679,200679,106,1,5410318,,,,,,,,
15067,15,67,Otzolotepec,93384,94896,94896,100,8,1933147,,,,,,,,
15091,15,91,Teoloyucan,64019,64647,64647,86,6,5401537,,,,,,,,
15051,15,51,Lerma,169338,172037,172037,114,3,1149573,,,,,,,,
15070,15,70,La Paz,313204,321017,321017,104,5,1968187,,,,,,,,
15018,15,18,Calimaya,57489,58383,58383,59,3,1149573,,,,,,,,
15003,15,3,Aculco,52080,52847,52847,63,9,316419,,,,,,,,
15090,15,90,Tenango del Valle,91996,93357,93357,99,3,1149573,,,,,,,,
15085,15,85,Temascalcingo,71798,72807,72807,91,2,533840,,,,,,,,
15009,15,9,Amecameca,53514,54157,54157,60,5,1968187,,,,,,,,
15100,15,100,Tezoyuca,46349,47172,47172,66,1,5410318,,,,,,,,
15029,15,29,Chicoloapan,196624,199228,199228,107,1,5410318,,,,,,,,
15046,15,46,Jilotzingo,22819,23192,23192,23,6,5401537,,,,,,,,
15121,15,121,Cuautitlán Izcalli,576197,582568,582568,123,6,5401537,,,,,,,,
15106,15,106,Toluca,955654,968777,968777,2,8,1933147,,,,,,,,
15095,15,95,Tepotzotlán,113009,114849,114849,80,6,5401537,,,,,,,,
15098,15,98,Texcalyacac,6004,6089,6089,19,3,1149573,,,,,,,,
15101,15,101,Tianguistenco,82211,83388,83388,95,3,1149573,,,,,,,,
15093,15,93,Tepetlaoxtoc,32277,32716,32716,54,1,5410318,,,,,,,,
15022,15,22,Cocotitlán,13339,13484,13484,36,5,1968187,,,,,,,,
15027,15,27,Chapultepec,13087,13320,13320,34,3,1149573,,,,,,,,
15117,15,117,Zacualpan,17297,17521,17521,25,7,343971,,,,,,,,
15031,15,31,Chimalhuacán,742659,754833,754833,120,1,5410318,,,,,,,,
15112,15,112,Villa del Carbón,52808,53623,53623,61,6,5401537,,,,,,,,
