CVE_ENT,CVE_MUN,CVEGEO,NOMGEO,num,region,pop2015,pop2016,pop2017,pop2018,pop2019
15,29,15029,Chicoloapan,3,CHIMALHUACÁN,189077,191523,194047,196624,199228
15,30,15030,Chiconcuac,15,TEXCOCO,26009,26447,26870,27280,27679
15,31,15031,Chimalhuacán,3,CHIMALHUACÁN,704538,717541,730235,742659,754833
15,20,15020,Coacalco de Berriozábal,18,TULTITLÁN,295275,298288,301429,304640,307871
15,21,15021,Coatepec Harinas,12,TEJUPILCO,40411,41052,41695,42341,42990
15,22,15022,Cocotitlán,1,AMECAMECA,12924,13057,13196,13339,13484
15,23,15023,Coyotepec,14,TEPOTZOTLÁN,41364,41844,42360,42901,43460
15,24,15024,Cuautitlán,18,TULTITLÁN,166979,170384,173558,176544,179373
15,121,15121,Cuautitlán Izcalli,4,CUAUTITLÁN IZCALLI,556454,563090,569690,576197,582568
15,32,15032,Donato Guerra,19,VALLE DE BRAVO,37238,37851,38477,39114,39761
15,33,15033,Ecatepec de Morelos,5,ECATEPEC,1760705,1779404,1798938,1818939,1839112
15,34,15034,Ecatzingo,1,AMECAMECA,10554,10734,10915,11095,11275
15,64,15064,El Oro,2,ATLACOMULCO,12075,12146,12210,12270,12323
15,35,15035,Huehuetoca,20,ZUMPANGO,132745,136708,140281,143548,146578
15,36,15036,Hueypoxtla,20,ZUMPANGO,44001,44627,45253,45878,46499
15,37,15037,Huixquilucan,9,NAUCALPAN,269264,273181,277020,280775,284436
15,38,15038,Isidro Fabela,9,NAUCALPAN,11747,11947,12142,12332,12518
15,39,15039,Ixtapaluca,3,CHIMALHUACÁN,521001,529220,537421,545581,553673
15,40,15040,Ixtapan de la Sal,12,TEJUPILCO,37396,37967,38537,39103,39667
15,41,15041,Ixtapan del Oro,19,VALLE DE BRAVO,7081,7161,7245,7335,7428
15,42,15042,Ixtlahuaca,6,IXTLAHUACA,158918,161536,164128,166692,169226
15,44,15044,Jaltenco,14,TEPOTZOTLÁN,28136,28447,28770,29099,29432
15,45,15045,Jilotepec,2,ATLACOMULCO,95930,97606,99230,100808,102347
15,46,15046,Jilotzingo,9,NAUCALPAN,21556,22006,22426,22819,23192
15,47,15047,Jiquipilco,6,IXTLAHUACA,77959,79278,80586,81884,83174
15,48,15048,Jocotitlán,2,ATLACOMULCO,68182,69208,70227,71237,72238
15,49,15049,Joquicingo,13,TENANCINGO,14609,14850,15083,15309,15530
15,50,15050,Juchitepec,1,AMECAMECA,26331,26743,27150,27552,27949
15,70,15070,La Paz,3,CHIMALHUACÁN,290288,297804,305455,313204,321017
15,51,15051,Lerma,7,LERMA,160269,163489,166499,169338,172037
15,123,15123,Luvianos,12,TEJUPILCO,28928,29182,29475,29798,30147
15,52,15052,Malinalco,13,TENANCINGO,28477,28886,29293,29699,30102
15,53,15053,Melchor Ocampo,14,TEPOTZOTLÁN,61112,62465,63716,64885,65988
15,54,15054,Metepec,8,METEPEC,12710,12898,13078,13252,13421
15,55,15055,Mexicaltzingo,8,METEPEC,13376,13608,13833,14053,14267
15,56,15056,Morelos,2,ATLACOMULCO,8916,9022,9127,9230,9332
15,57,15057,Naucalpan de Juárez,9,NAUCALPAN,897015,906830,916796,926802,936758
15,59,15059,Nextlalpan,14,TEPOTZOTLÁN,44298,45514,46619,47636,48582
